legacyId,kind,href,action
588,blog-not-yet-imported,https://gcalls.co/tong-dai-noi-bo-ao-khac-tong-dai-ao-diem-nao/,relink after target live / map to finished page
2784,unknown-target,https://gcalls.co/gcalls-tu-van-giai-phap-tong-dai/,relink after target live / map to finished page
1231,unknown-target,https://gcalls.co/gcalls-tu-van-giai-phap-tong-dai/,relink after target live / map to finished page
2811,unknown-target,https://gcalls.co/gcalls-tu-van-giai-phap-tong-dai/,relink after target live / map to finished page
603,unknown-target,https://gcalls.co/gcalls-tu-van-giai-phap-tong-dai/,relink after target live / map to finished page
15738,blog-not-yet-imported,https://gcalls.co/ivr-la-gi-va-nhung-dieu-can-biet-ve/,relink after target live / map to finished page
654,unknown-target,https://gcalls.co/gcalls-tu-van-giai-phap-tong-dai/,relink after target live / map to finished page
